qi,query,rank_a,rank_b,rank_f
0,Lotus Herbals Make-Up Hypnotica Eye Contour Definer Onyx 14,14,2,3
1,Revlon Colorstay Scarlet Pink Lip Liner,3,2,3
2,Shree Women Green & White Printed Kurta,32,12,19
3,ADIDAS Women's Who Was That Yellow T-shirt,1,3,1
4,Puma Men Danny Blue Slipper,41,9,21
5,Amante Cream-Coloured Full-Coverage Lace Bra BCFR11,5,8,5
6,Jockey LCESCBRA Men White Pack of 3 Socks 2004,1,1,1
7,Wrangler Women Black Leather Belt,48,101,85
8,Colorbar Full Finish Longwear Tempt Me Lipstick 05,76,101,82
9,Aneri Women Fiza Cream Kurta,101,98,101
10,Clarks Men Navy Blue Casual Shoes,31,101,45
11,ADIDAS Men's Bam Blue T-shirt,101,2,82
12,ADIDAS Men's Slide Grey Orange Flip Flop,1,1,1
13,Enroute Women Beige Flats,29,77,39
14,Crocs Dora Boots Pink Sandals,2,1,1
15,ADIDAS Originals Men White Dial Watch ADH2578,2,1,2
16,Ed Hardy Men Eagle Print Blue Tshirts,4,18,6
17,Wrangler Women Navy Blue Jeggings,8,28,11
18,Arrow Sport Men Check Yellow Shirts,3,11,5
19,Rising Wave Men Perfume,20,1,2
20,Biotique Bio Cucumber Pore Tightening Freshener,6,1,1
21,Puma Women Balleracer Blue Shoe,14,32,8
22,Puma Men Faas 300 Blue Sports Shoes,3,1,1
23,Lee Men's Striper White Green T-shirt,5,1,2
24,United Colors of Benetton Men Light Blue Shirts,101,101,101
25,Nike Men AS Thermal Grey Jackets,1,4,1
26,Femella Golden Necklace,4,3,3
27,Gini and Jony Boys Polo Black T-Shirt,6,41,9
28,Vishudh Women Floral Printed Blue Kurta,101,64,81
29,Red Rose Women Cream and Purple Bath Robes,1,1,1
30,Fabindia Men Yellow Mangalgiri Kurta,4,3,3
31,Puma Men Vedano Brown Shoes,1,1,1
32,Puma Men Faas Steady Power Black Sports Shoes,9,4,5
33,Lino Perros Women Sequins Red Handbag,21,8,12
34,Jealous 21 Women's Butterfly Blue Top,43,11,17
35,Nike Women Orange Solarsoft Thong Flip Flops,6,3,4
36,Wrangler Women Big Rodeo Pink T-shirt,39,30,22
37,Biotique Bio Honey Gel Lightening Foaming Cleanser,2,1,1
38,ADIDAS Men Agora Lea Grey Shoes,34,52,39
39,Nike Fragrances Brown Urban Musk Deo,3,2,2
40,Lino Perros Women Check Green Handbag,1,1,1
41,ADIDAS Unisex White Pack of 3 Socks,1,3,2
42,Baggit Women White Purse,101,101,101
43,Status Quo Men's Ticket To Win Purple T-shirt,1,1,1
44,Lakme True Wear Freespirit Nail Polish D415,10,10,11
45,Ivory Tag Women Colour Interplay Multicolour Necklace,24,31,23
46,Gini and Jony Girls Polo Striped Pink T-shirt,3,5,1
47,s.Oliver Men Check Olive Shirt,52,13,32
48,ONLY Women Black Jeans,5,19,5
49,CASIO ENTICER Women Black Dial Analogue Watch A638,5,8,6
50,Pieces Women Navy Blue Purse,18,32,22
51,Reebok Men Truth or Dare Red T-shirt,101,5,74
52,Reebok Men Run Sheer White Sports Shoes,35,37,36
53,Nike Men Air Max 1 Black Casual Shoe,1,1,1
54,ADIDAS Women Core 50 Black Sports Shoes,2,1,1
55,Amante Women Green Lace Bikini Briefs PGTE01,1,4,1
56,Turtle Men Stripes Black Ties,33,8,7
57,DKNY Women Golden Delicious Perfume,1,3,1
58,Nike Fragrances Women Magic Passion Perfume 150 ml,25,2,3
59,Reebok Men's Blaze White Black Shoe,1,1,1
60,Puma Men White Grafitti T-shirt,25,45,30
61,Tonga Women White & Blue Printed Top,71,37,59
62,Enroute Men Leather Tan Formal Shoes,22,9,14
63,Fabindia Men Red Silk Sleeveless Waistcoat,1,1,1
64,ADIDAS Men Navy Blue T-Shirt,7,5,7
65,Nike Women Downshifter 4 MSL Purple Sports Shoes,1,4,1
66,Colorbar Aquamarine Eye Shadow 007,1,1,1
67,ADIDAS Originals Men White Dial Chronograph Watch ADH2624,2,1,2
68,Red Tape Men Black Formal Shoes,10,5,10
69,dunhill Men Deo,1,2,1
70,ADIDAS Men Spectrum Night Blue T-shirt,101,101,101
71,Bata Men Remo Black Formal Shoes,14,39,23
72,Classic Polo Men's Swiss Purple T-shirt,8,8,9
73,Timberland Men's Prem Wheat Yellow Shoe,2,2,2
74,Reebok Men Black Flip Flops,12,7,6
75,Puma Unisex Arizona Black Flip Flop,11,9,9
76,Skechers Men's Zeta Black Lifestyle Casual Shoe,26,21,23
77,The Amazing Spiderman Boys Red T-Shirt,1,1,1
78,Vishudh Women Small Flower Print Black Kurtas,9,50,18
79,Puma Unisex Traction Green Backpacks,2,3,2
80,Wrangler Women Stud Pink Top,15,101,30
81,Ray-Ban Men High Street Steel Sunglasses,3,26,5
82,Wrangler Men Wrangler Station Grey T-Shirts,1,2,1
83,Portia Women Brown Women Wedges,4,2,1
84,Ivory Tag Women Off White Tasseled Rose Sling Bag,2,1,1
85,Lotto Men Black Skate Slip-On Casual Shoes,5,2,2
86,Mother Earth Women Green Kurti,101,101,101
87,Basics Men Blue Striped T-shirt,45,40,38
