qi,query,rank_a,rank_b,rank_f
0,Modest Forever P320 Premium Polyester/P0Ly Moss Abaya,53,59,46
1,StyleStoneWomen Black & Off-White Printed Bomber,9,3,5
2,Bandhej Printed Pure Chinon Crepe Straight Cut Suit in Ombre Green,9,5,8
3, Baby Pink Embroidered Pure Heritage Silk Lehenga Choli With Dupatta ,15,26,18
4, Beige Rogan Printed Cotton Patiala & Dupatta Set ,1,1,1
5,ADIDAS Solid Men's Dark Blue Sports Shorts,3,4,3
6,HRX by Hrithik RoshanWomen Grey Solid Hooded Sweatshirt,10,4,5
7,LAWMAN PG3 Men's Solid Casual Pink Shirt,10,9,5
8,U&F Casual 3/4th Sleeve Solid Women Pink Top,25,1,5
9, Beige Pure Banarasi Natural Silk Printed Lehenga With Dupatta ,39,20,28
10,FemellaWomen Black Solid Sweatshirt,101,101,101
11,Beevee Solid Men's Cargos,91,39,101
12,UNDER ARMOURGrey Solid Women's Hustle Fleece Hoody Sweatshirt 1300261,1,1,1
13,Hand Embroidered Art Silk Front Slit Pakistani Suit in Maroon,1,1,1
14,nowrin N101 premium quality Nidha Abaya With Hijab,101,101,101
15,Dark chickoo churidar dupion silk kurta pajama,101,101,101
16,"Fashion Line Solid Women's Dark Blue, Beige Cycling Shorts",3,1,3
17,Lime Printed Women's Round Neck White T-Shirt,83,19,81
18,Tommy HilfigerWomen Grey Melange Printed Sweatshirt,1,1,1
19,Clivemont Slim Fit Men's Cream Trousers,101,2,30
20,Aeropostale Slim Fit Men Grey Trousers,98,101,101
21,Blackberrys Slim Fit Men's Dark Blue Trousers,1,27,1
22,Van HeusenMen Beige Slim Fit Linen Formal Shirt,1,1,1
23,Highlander Slim Fit Men's Brown Trousers,101,101,101
24,Ben Martin Regular Men's Dark Blue Jeans,101,26,93
25,Harpa Casual 3/4th Sleeve Floral Print Women's Pink Top,36,74,43
26,La Seven Men's Solid Casual Black Shirt,33,42,45
27,RoadsterWomen Burgundy Solid Padded Jacket,14,18,17
28,Omtex Printed Mandarin Festive Men's Blazer,101,101,101
29,Cherokee Men's Striped Casual Shirt,101,101,101
30,Solid Color Cotton Pant in Red,12,1,2
31,Blackberrys Men's Solid Casual Pink Shirt,28,101,75
32,Blackberrys Men's Solid Formal Purple Shirt,34,101,68
33,Jonney Printed Men's Dark Blue Regular Shorts,56,8,44
34,T-Base Full Sleeve Solid Men's Riding  Jacket,98,101,82
35,plusSWomen Grey Embroidered Sweatshirt,61,41,47
36,Uptownie Lite Casual Full Sleeve Polka Print Women's Black Top,101,76,101
37,Affair Printed Women's Multicolor Bermuda Shorts,101,61,101
38,COBIO MAN Men Solid Casual Light Blue Shirt,32,37,48
39,Metronaut Solid Women's Hooded Black T-Shirt,4,2,3
40,CFM Red Crepe Anarkali Kurti,18,11,8
41, Navy Blue Embroidered Velvet Lehenga With Dupatta ,8,9,8
42,Indian attire ethnic blended blue indo-western bandgala (indian coat)  for men,2,11,3
43,RSVP CrossWomen Grey Self Design Sweatshirt,2,17,3
44,Sports 52 Wear Solid Men's Black Basic Shorts,44,87,48
45,Modest Forever P222 Premium Polyester Abaya,101,101,101
46,DressBerryMove Women Black Solid Sporty Jacket,13,8,6
47,Cream kurta pyjama sets,57,47,48
48, Pink And Cream Printed Mysore Silk Saree With Blouse ,78,87,73
49,People Casual Half Sleeve Printed Women's White Top,81,54,53
50,Mast & HarbourWomen Charcoal Solid Bomber,7,10,6
51,JovenBlue & White Checkered Boxer JB103,2,1,1
52,RAREWomen Black Printed Sweatshirt,64,77,65
53,Rakshita Collection Full Sleeve Solid Men's Sports  Jacket,101,101,101
54,U.S. Polo Assn Full Sleeve Printed Men Sweatshirt,9,75,15
55,Embroidered Chanderi Cotton Straight Suit in Light Green,4,7,4
56,Aeropostale Solid Men Black Track Pants,101,101,101
57,"Belmarsh Solid Women White, Blue, White, Red Cycling Shorts",11,39,13
58,Abdul Haadi A056-M Moff Pink Poly Cotton Chevron Abaya,101,101,101
59, Black Printed Gerogette Saree With Blouse ,17,18,12
60,Van HeusenMen Peach-Coloured Regular Fit Self-Design Formal Shirt,21,32,23
61,Nuevo EstiloWomen Turquoise Blue Solid Lightweight Biker Jacket,8,1,5
62,Woven Kanchipuram Silk Saree in Pink,29,20,21
63,RoadsterWomen Brown Solid Sweatshirt,11,1,3
64,Arrow New York Men's Casual Shirt,101,101,101
65,"Belmarsh Solid Women White, Red, Blue, Blue Cycling Shorts",25,8,20
66,naughty ninosNaughty Ninos Off-White Floral Printed Dungaree with T-Shirt,3,4,4
67,Black & red chanderi cotton printed women's salwar suit unstitched,1,3,2
68,Burdy Solid Men's Black Sports Shorts,40,9,50
69,Calvin Klein UnderwearCalvin Klein Innerwear Blue Striped Slim Fit Boxers U15132AY,2,1,1
70,Light cream embroidered georgette semi stitched salwar with dupatta,4,4,2
71, Maroon Embroidered Chinon Silk Saree With Blouse ,8,15,8
72,Embroidered Cotton Pakistani Suit in Sky Blue and Black,1,1,1
73,"Peter England Men's Printed Casual Brown, White Shirt",9,17,4
74,Momin Libas AK18417 Polyester Solid Burqa,101,101,101
75,LacosteMen Blue & White Regular Fit Checked Formal Shirt,3,13,3
76,"Teesort Printed, Graphic Print Men's Black Track Pants",14,11,7
77,Embroidered Straight Cut Suit in Shaded Pink,20,45,30
78,United Colors of Benetton Slim Men's Light Blue Jeans,101,59,101
79,Moda RapidoWomen Mustard Yellow Solid Biker Jacket,1,1,1
80, Green Coloured Dupion Silk Semi Stitched Ethnic Suits ,3,9,4
81,Plain  Cotton Slub Nehru Jacket in Navy Blue,4,1,1
82,John Players Men's Self Design Formal Blue Shirt,101,101,101
83,Harpa Casual 3/4th Sleeve Printed Women's Grey Top,5,5,4
84,Royal blue embroidered jacquard mens kurta pajama,1,2,1
85,Abaya AL1058 Crepe Self Design Burqa With Hijab,90,101,101
86,AD & AV Regular Fit Men's Cream Trousers,101,101,101
87,Trendyfrog Women's Self Design Casual Denim Blue Shirt,99,44,87
88, Handloom Pure Cotton Saree Of Bengal With Blouse Dhakai Jamdani Saree(Yellow) ,15,23,18
89,INVICTUSMen Navy Slim Fit Printed Formal Shirt,5,19,6
90,Moda RapidoWomen Navy Solid Sweatshirt,39,43,35
91,Embroidered Chanderi Silk Straight Suit in Blue,29,21,27
92,"Arrow Sport Men's Checkered Casual White, Blue Shirt",68,42,48
93,Mustard embroiderd georgette saree with blouse,88,101,88
94,Blackberrys Slim Fit Men's Green Trousers,79,55,101
95,John Players Men's Solid Formal Orange Shirt,101,80,101
96,Party wear cotton suit with embroidered yoke,70,101,89
97,Blue georgette embroidered straight suit dress material unstitched,26,36,23
98,Honey By Pantaloons Casual Short Sleeve Printed Women's Pink Top,85,101,101
99,Woven Cotton Silk Saree in Peach,8,5,5
100,Blue art dupion silk kurta pajama,101,101,101
101,U.S. Polo Assn Solid Women Polo Neck Black T-Shirt,1,4,1
102,"Dee Mannequin Self Design Men's Grey, Grey, Maroon Track Pants",101,67,64
103,Chickoo churidar dupion silk kurta pajama,27,33,25
104,REEBOK Printed Women's Round Neck Green T-Shirt,3,4,4
105, Blue Printed Cotton Blend Saree With Blouse ,101,101,101
106,Hanes Solid Men's Grey Sports Shorts,10,2,6
107,Brocade patch work with threading,101,101,101
108,Mast & HarbourWomen Black Printed Bomber,5,13,8
109,Fifty Two Solid Men's Black Track Pants,68,38,28
110,AV2 Casual Cap Sleeve Printed Women Brown Top,7,20,6
111,LAWMAN PG3 Men's Checkered Casual Green Shirt,6,10,5
112,vandnam fabrics Slim Fit Men Beige Trousers,5,22,14
113,Villain Slim Fit Men's Maroon Trousers,101,101,101
114,TexcoWomen Blue Hooded Full Sleeves Hooded Sweatshirt,30,101,55
115, Pink Embroidered Net Unstitched Lehenga Choli ,10,6,6
116,"Belmarsh Solid Women White, Black, Black, White Cycling Shorts",16,8,11
117,Nimegh Slim Fit Men Blue Trousers,101,44,69
118,"Trendy Trotters Regular Fit Men's Dark Green, Beige Trousers",101,101,101
119,AnoukWomen Purple Printed Cardigan,1,1,1
120,Wrangler Slim Fit Men's Green Trousers,1,45,2
121,Lee Slim Men's Black Jeans,7,1,1
