model,dataset,query,l1_category,has_color,has_material,has_style,n_positives,ap10
BaseSigLIP,fashion200k,blue tank dress,dresses,True,False,False,5,0.09444444444444444
BaseSigLIP,fashion200k,floral strapless dress,dresses,False,False,False,3,0.6388888888888888
BaseSigLIP,fashion200k,white lace dress,dresses,True,True,False,6,0.061111111111111116
BaseSigLIP,fashion200k,black mesh midi dress,dresses,True,True,True,3,1.0
BaseSigLIP,fashion200k,white lace up dress,dresses,True,True,False,5,0.7333333333333333
BaseSigLIP,fashion200k,red asymmetrical ruffle shift dress,dresses,True,False,True,2,0.625
BaseSigLIP,fashion200k,blue boutique sia beaded high neck midi dress,dresses,True,False,True,3,0.6666666666666666
BaseSigLIP,fashion200k,multicolor silk jersey wrap dress,dresses,True,True,True,2,0.29166666666666663
BaseSigLIP,fashion200k,white all over baroque sequin mesh mini dress plunge back,dresses,True,True,True,3,0.9166666666666666
BaseSigLIP,fashion200k,white v-neck floral dress,dresses,True,False,False,2,0.08333333333333333
BaseSigLIP,fashion200k,white wild midi dress,dresses,True,False,True,2,0.0
BaseSigLIP,fashion200k,gray henley tank dress,dresses,True,False,False,7,0.8444444444444443
BaseSigLIP,fashion200k,red terry dress,dresses,True,False,False,4,0.0
BaseSigLIP,fashion200k,white lace a-line dress,dresses,True,True,True,3,0.0
BaseSigLIP,fashion200k,black petite elle strappy ribbed peplum dress,dresses,True,False,True,2,1.0
BaseSigLIP,fashion200k,gray lace high neck split midi dress,dresses,True,True,True,3,1.0
BaseSigLIP,fashion200k,yellow viola cotton-blend dress,dresses,True,True,False,12,0.0
BaseSigLIP,fashion200k,white off-shoulder silk dress,dresses,True,True,False,4,0.30833333333333335
BaseSigLIP,fashion200k,blue dot-print crepe dress,dresses,True,False,False,9,0.018518518518518517
BaseSigLIP,fashion200k,black asymmetric hem dress,dresses,True,False,True,4,0.05
BaseSigLIP,fashion200k,beige petite printed sleeveless scuba dress,dresses,True,False,False,2,0.0
BaseSigLIP,fashion200k,blue maxi chambray dress,dresses,True,False,True,4,0.0
BaseSigLIP,fashion200k,structured floral dress,dresses,False,False,True,10,0.1775
BaseSigLIP,fashion200k,multicolor striped dress,dresses,True,False,False,5,0.0
BaseSigLIP,fashion200k,multicolor empire retro hi-low v-back dress,dresses,True,False,True,2,0.07142857142857142
BaseSigLIP,fashion200k,blue sleeveless dress,dresses,True,False,False,2,0.0
BaseSigLIP,fashion200k,black petite printed handkerchief-hem dress,dresses,True,False,False,3,0.0
BaseSigLIP,fashion200k,blue block floral dress pleat,dresses,True,False,False,2,0.0
BaseSigLIP,fashion200k,gold paillette sleeveless dress,dresses,True,False,False,4,1.0
BaseSigLIP,fashion200k,black cut dress compare,dresses,True,False,False,2,0.0
BaseSigLIP,fashion200k,gray guipure cape draped dress,outerwear,True,False,True,3,0.05555555555555555
BaseSigLIP,fashion200k,blue one-shoulder hi-lo tie dye dress,dresses,True,False,False,2,1.0
BaseSigLIP,fashion200k,black delia embroidered tape detail midi dress,dresses,True,True,True,3,0.41111111111111115
BaseSigLIP,fashion200k,black star print flared dress,dresses,True,False,False,6,1.0
BaseSigLIP,fashion200k,blue short dress,dresses,True,False,False,3,0.0
BaseSigLIP,fashion200k,white day dress,dresses,True,False,False,5,0.0
BaseSigLIP,fashion200k,multicolor panel dress,dresses,True,False,False,5,0.0
BaseSigLIP,fashion200k,white short sleeve vee dress,dresses,True,False,False,4,0.4083333333333333
BaseSigLIP,fashion200k,gray tie-waist dress,dresses,True,False,False,4,0.0
BaseSigLIP,fashion200k,beige scalloped lace neck fit-and-flare dress,dresses,True,True,False,2,0.26666666666666666
BaseSigLIP,fashion200k,black plus handkerchief linen dress,dresses,True,True,False,2,1.0
BaseSigLIP,fashion200k,pink daisy textured dress,dresses,True,False,False,4,0.225
BaseSigLIP,fashion200k,orange lace cut out fit-and-flare dress,dresses,True,True,False,2,1.0
BaseSigLIP,fashion200k,gray lace a-line jacket dress,outerwear,True,True,True,3,0.7666666666666666
BaseSigLIP,fashion200k,white embellished mini dress,dresses,True,False,True,4,0.0
BaseSigLIP,fashion200k,black strappy tank dress,dresses,True,False,False,2,0.0
BaseSigLIP,fashion200k,blue printed asymmetrical cap-sleeve dress,dresses,True,False,False,2,0.0
BaseSigLIP,fashion200k,black ponte fit-&-flare dress,dresses,True,False,False,2,0.0
BaseSigLIP,fashion200k,blue fit-and-flare dress,dresses,True,False,False,3,0.047619047619047616
BaseSigLIP,fashion200k,red off-the-shoulder popover dress,dresses,True,False,False,3,1.0
BaseSigLIP,fashion200k,yellow sunny daisy organza shirtdress,dresses,True,True,False,2,1.0
BaseSigLIP,fashion200k,orange sheath dress,dresses,True,False,False,3,0.0
BaseSigLIP,fashion200k,green linen high-low dress,dresses,True,True,False,2,0.325
BaseSigLIP,fashion200k,white sleeveless popover dress,dresses,True,False,False,2,0.125
BaseSigLIP,fashion200k,white spaghetti strap trapeze dress,dresses,True,False,False,4,0.65
BaseSigLIP,fashion200k,red ottoman detailed dress,dresses,True,False,False,4,0.0
BaseSigLIP,fashion200k,gray heathered sheath cutout dress,dresses,True,False,False,3,0.6805555555555555
