model,dataset,query,l1_category,has_color,has_material,has_style,n_positives,ap10
FashionSigLIP,fashion200k,blue tank dress,dresses,True,False,False,5,0.02857142857142857
FashionSigLIP,fashion200k,floral strapless dress,dresses,False,False,False,3,0.6388888888888888
FashionSigLIP,fashion200k,white lace dress,dresses,True,True,False,6,0.023809523809523808
FashionSigLIP,fashion200k,black mesh midi dress,dresses,True,True,True,3,1.0
FashionSigLIP,fashion200k,white lace up dress,dresses,True,True,False,5,0.8
FashionSigLIP,fashion200k,red asymmetrical ruffle shift dress,dresses,True,False,True,2,0.625
FashionSigLIP,fashion200k,blue boutique sia beaded high neck midi dress,dresses,True,False,True,3,0.6666666666666666
FashionSigLIP,fashion200k,multicolor silk jersey wrap dress,dresses,True,True,True,2,0.08333333333333333
FashionSigLIP,fashion200k,white all over baroque sequin mesh mini dress plunge back,dresses,True,True,True,3,1.0
FashionSigLIP,fashion200k,white v-neck floral dress,dresses,True,False,False,2,0.1
FashionSigLIP,fashion200k,white wild midi dress,dresses,True,False,True,2,0.0
FashionSigLIP,fashion200k,gray henley tank dress,dresses,True,False,False,7,0.769047619047619
FashionSigLIP,fashion200k,red terry dress,dresses,True,False,False,4,0.0
FashionSigLIP,fashion200k,white lace a-line dress,dresses,True,True,True,3,0.0
FashionSigLIP,fashion200k,black petite elle strappy ribbed peplum dress,dresses,True,False,True,2,1.0
FashionSigLIP,fashion200k,gray lace high neck split midi dress,dresses,True,True,True,3,0.7777777777777778
FashionSigLIP,fashion200k,yellow viola cotton-blend dress,dresses,True,True,False,12,0.0
FashionSigLIP,fashion200k,white off-shoulder silk dress,dresses,True,True,False,4,0.8928571428571428
FashionSigLIP,fashion200k,blue dot-print crepe dress,dresses,True,False,False,9,0.05
FashionSigLIP,fashion200k,black asymmetric hem dress,dresses,True,False,True,4,0.0
FashionSigLIP,fashion200k,beige petite printed sleeveless scuba dress,dresses,True,False,False,2,0.0
FashionSigLIP,fashion200k,blue maxi chambray dress,dresses,True,False,True,4,0.0
FashionSigLIP,fashion200k,structured floral dress,dresses,False,False,True,10,0.2095238095238095
FashionSigLIP,fashion200k,multicolor striped dress,dresses,True,False,False,5,0.0
FashionSigLIP,fashion200k,multicolor empire retro hi-low v-back dress,dresses,True,False,True,2,0.05
FashionSigLIP,fashion200k,blue sleeveless dress,dresses,True,False,False,2,0.0
FashionSigLIP,fashion200k,black petite printed handkerchief-hem dress,dresses,True,False,False,3,0.0
FashionSigLIP,fashion200k,blue block floral dress pleat,dresses,True,False,False,2,0.0
FashionSigLIP,fashion200k,gold paillette sleeveless dress,dresses,True,False,False,4,0.95
FashionSigLIP,fashion200k,black cut dress compare,dresses,True,False,False,2,0.0
FashionSigLIP,fashion200k,gray guipure cape draped dress,outerwear,True,False,True,3,0.047619047619047616
FashionSigLIP,fashion200k,blue one-shoulder hi-lo tie dye dress,dresses,True,False,False,2,1.0
FashionSigLIP,fashion200k,black delia embroidered tape detail midi dress,dresses,True,True,True,3,0.8055555555555555
FashionSigLIP,fashion200k,black star print flared dress,dresses,True,False,False,6,0.9761904761904762
FashionSigLIP,fashion200k,blue short dress,dresses,True,False,False,3,0.0
FashionSigLIP,fashion200k,white day dress,dresses,True,False,False,5,0.0
FashionSigLIP,fashion200k,multicolor panel dress,dresses,True,False,False,5,0.0
FashionSigLIP,fashion200k,white short sleeve vee dress,dresses,True,False,False,4,0.1875
FashionSigLIP,fashion200k,gray tie-waist dress,dresses,True,False,False,4,0.0
FashionSigLIP,fashion200k,beige scalloped lace neck fit-and-flare dress,dresses,True,True,False,2,1.0
FashionSigLIP,fashion200k,black plus handkerchief linen dress,dresses,True,True,False,2,1.0
FashionSigLIP,fashion200k,pink daisy textured dress,dresses,True,False,False,4,0.125
FashionSigLIP,fashion200k,orange lace cut out fit-and-flare dress,dresses,True,True,False,2,1.0
FashionSigLIP,fashion200k,gray lace a-line jacket dress,outerwear,True,True,True,3,0.6666666666666666
FashionSigLIP,fashion200k,white embellished mini dress,dresses,True,False,True,4,0.0
FashionSigLIP,fashion200k,black strappy tank dress,dresses,True,False,False,2,0.16666666666666666
FashionSigLIP,fashion200k,blue printed asymmetrical cap-sleeve dress,dresses,True,False,False,2,0.08333333333333333
FashionSigLIP,fashion200k,black ponte fit-&-flare dress,dresses,True,False,False,2,0.07142857142857142
FashionSigLIP,fashion200k,blue fit-and-flare dress,dresses,True,False,False,3,0.12169312169312169
FashionSigLIP,fashion200k,red off-the-shoulder popover dress,dresses,True,False,False,3,1.0
FashionSigLIP,fashion200k,yellow sunny daisy organza shirtdress,dresses,True,True,False,2,1.0
FashionSigLIP,fashion200k,orange sheath dress,dresses,True,False,False,3,0.0
FashionSigLIP,fashion200k,green linen high-low dress,dresses,True,True,False,2,0.325
FashionSigLIP,fashion200k,white sleeveless popover dress,dresses,True,False,False,2,0.16666666666666666
FashionSigLIP,fashion200k,white spaghetti strap trapeze dress,dresses,True,False,False,4,0.875
FashionSigLIP,fashion200k,red ottoman detailed dress,dresses,True,False,False,4,0.0
FashionSigLIP,fashion200k,gray heathered sheath cutout dress,dresses,True,False,False,3,0.5317460317460317
FashionSigLIP,fashion200k,red aline dress pleated yoke front,dresses,True,False,True,2,0.7
FashionSigLIP,fashion200k,black dotted fit flare dress,dresses,True,False,False,6,0.06666666666666667
FashionSigLIP,fashion200k,black 1 shoulder tank dress,dresses,True,False,False,3,0.0
FashionSigLIP,fashion200k,pink pleated fit-and-flare dress,dresses,True,False,True,2,0.08333333333333333
FashionSigLIP,fashion200k,pink mia 3/4 surplice dress,dresses,True,False,False,5,0.6
FashionSigLIP,fashion200k,orange embellished star moon sundress,dresses,True,False,False,4,1.0
FashionSigLIP,fashion200k,blue foil dress,dresses,True,False,False,4,0.15476190476190477
FashionSigLIP,fashion200k,blue floral jacquard fit-and-flare dress,dresses,True,False,False,2,0.18333333333333335
FashionSigLIP,fashion200k,black mirage dress,dresses,True,False,False,5,0.02
FashionSigLIP,fashion200k,black rib tank dress,dresses,True,False,False,5,0.1638095238095238
FashionSigLIP,fashion200k,white eyelet shift dress bell sleeves,dresses,True,False,False,2,0.8333333333333333
FashionSigLIP,fashion200k,multicolor bell mini,other,True,False,True,2,0.0
FashionSigLIP,fashion200k,blue samantha long dress,dresses,True,False,False,5,0.22666666666666666
FashionSigLIP,fashion200k,orange fringe hem slip dress,dresses,True,False,True,2,0.5833333333333333
FashionSigLIP,fashion200k,red chiffon self-tie wrap dress,dresses,True,True,True,4,0.75
FashionSigLIP,fashion200k,white striped dress,dresses,True,False,False,6,0.0
FashionSigLIP,fashion200k,blue rib tank dress,dresses,True,False,False,4,0.35
FashionSigLIP,fashion200k,white trendy plus size trim sleeveless a-line dress,dresses,True,False,True,2,0.8333333333333333
FashionSigLIP,fashion200k,white bella cut-out floral silk dress,dresses,True,True,False,5,0.6642857142857143
FashionSigLIP,fashion200k,red multi striped sheath dress,dresses,True,False,False,2,0.3666666666666667
FashionSigLIP,fashion200k,multicolor pleated print dress,dresses,True,False,True,6,0.0
FashionSigLIP,fashion200k,pink high/low knit dress,dresses,True,True,False,5,0.0
FashionSigLIP,fashion200k,red contemporary metallic floral print cami dress,dresses,True,False,False,3,0.03333333333333333
FashionSigLIP,fashion200k,white frayed woven dress,dresses,True,True,False,5,1.0
FashionSigLIP,fashion200k,gray taylor dress,dresses,True,False,False,4,0.0
FashionSigLIP,fashion200k,beige sophie dress,dresses,True,False,False,3,0.0
FashionSigLIP,fashion200k,white lace drop waist dress,dresses,True,True,False,2,0.0
FashionSigLIP,fashion200k,multicolor daisy floral dress,dresses,True,False,False,6,0.13888888888888887
FashionSigLIP,fashion200k,black picnic smocked off-the-shoulder jersey midi dress,dresses,True,True,True,5,0.35238095238095235
